Current_Chord,Next_Chord,Count,Probability
1Maj,57#5,1,0.002304147465437788
1Maj,b7maj7#11,1,0.002304147465437788
1Maj,77b9,1,0.002304147465437788
1Maj,b6maj7,1,0.002304147465437788
1Maj,5m6,1,0.002304147465437788
1Maj,#413#11,1,0.002304147465437788
1Maj,3add9,1,0.002304147465437788
1Maj,b7maj9,1,0.002304147465437788
1Maj,b3maj7,1,0.002304147465437788
1Maj,4add9,1,0.002304147465437788
1Maj,2m9,1,0.002304147465437788
1Maj,4m7,1,0.002304147465437788
1Maj,5m,1,0.002304147465437788
1Maj,b20,1,0.002304147465437788
1Maj,b76,1,0.002304147465437788
1Maj,1m,1,0.002304147465437788
1Maj,b27,1,0.002304147465437788
1Maj,4maj7,1,0.002304147465437788
1Maj,56,1,0.002304147465437788
1Maj,67#9,1,0.002304147465437788
1Maj,5sus,1,0.002304147465437788
1Maj,3m6,1,0.002304147465437788
1add9,b77#11,2,0.5
1add9,4Maj,2,0.5
1aug,16,12,0.5217391304347826
1aug,1Maj,5,0.21739130434782608
1aug,46,2,0.08695652173913043
1aug,1maj7,2,0.08695652173913043
1aug,2m7,2,0.08695652173913043
1m,47,4,0.13793103448275862
1m,27,3,0.10344827586206896
1m,4m7,3,0.10344827586206896
1m,57#9,2,0.06896551724137931
1m,6m7b5,2,0.06896551724137931
1m,b7m6(Bb7),2,0.06896551724137931
1m,1m7,2,0.06896551724137931
1m,67b9,1,0.034482758620689655
1m,1maug,1,0.034482758620689655
1m,16,1,0.034482758620689655
1m,#407,1,0.034482758620689655
1m,57,1,0.034482758620689655
1m,57b13,1,0.034482758620689655
1m,#47#5,1,0.034482758620689655
1m,47sus,1,0.034482758620689655
1m,5Maj,1,0.034482758620689655
1m,2m7,1,0.034482758620689655
1m,b77,1,0.034482758620689655
1m(Am7b5),2m7,1,1.0
1m(Gmaj7),1m,2,1.0
1m11,413,1,1.0
1m6,2m7b5,3,0.12
1m6,b67,3,0.12
1m6,16,2,0.08
1m6,47,2,0.08
1m6,707,1,0.04
1m6,36,1,0.04
1m6,b37,1,0.04
1m6,5m7,1,0.04
1m6,3m,1,0.04
1m6,3m7,1,0.04
1m6,6m7b5,1,0.04
1m6,1m7,1,0.04
1m6,7m7,1,0.04
1m6,b213#11,1,0.04
1m6,#4m7b5,1,0.04
1m6,4m7,1,0.04
1m6,5Maj,1,0.04
1m6,b77,1,0.04
1m6,#49#11,1,0.04
1m7,47,71,0.46405228758169936
1m7,4m7,10,0.06535947712418301
1m7,b7m7,8,0.05228758169934641
1m7,6m7,5,0.032679738562091505
1m7,b67,5,0.032679738562091505
1m7,1m6,5,0.032679738562091505
